instelling.naam;objectnummer;object_categorie;objectnaam;titel;beschrijving;vervaardiger;vervaardiger.rol;vervaardiging.plaats;vervaardiging.datum.begin.prec;vervaardiging.datum.begin;vervaardiging.datum.eind.prec;vervaardiging.datum.eind;associatie.onderwerp;associatie.persoon;associatie.periode;inhoud.onderwerp;inhoud.persoon.naam
Het Huis van Alijn (Gent);FO-50-01640;"";digitale afbeelding;Vier miliciens tijdens hun legerdienst voor de kazerne;"";"";"";"";"";"";"";"";leger$dienstplicht;"";jaren 1950;militair;""
Het Huis van Alijn (Gent);FO-50-01635;"";digitale afbeelding;Groep miliciens tijdens hun legerdienst, Duitsland, 1958;"";"";"";"";"";1958;"";"";leger$dienstplicht$rookwaren$Duitsland;"";jaren 1950;groepsportret$militair$sigaret$bier;""
Het Huis van Alijn (Gent);DIA-70-00480;"";digitale afbeelding;Gezin op familiebezoek in Verenigde Staten, ca. 1973;"";"";"";"";ca.;1973;"";"";vervoer$toerisme$mode$Verenigde Staten van Amerika$vakantie;"";jaren 1970;auto;""
Het Huis van Alijn (Gent);DIA-70-00488;"";digitale afbeelding;Kind bij sneeuwpop op camping, 1976;"";"";"";"";"";1976;"";"";toerisme$winter$kampeerterrein$vervoer$vakantie;"";jaren 1970;sneeuw$auto$caravan$sneeuwpop;""
Het Huis van Alijn (Gent);FO-60-01406;"";digitale afbeelding;Koppel voor auto op camping;"";"";"";"";"";"";"";"";vervoer$toerisme$kampeerterrein$vakantie;"";jaren 1960;auto$bal;""
Het Huis van Alijn (Gent);DIA-70-00497;"";digitale afbeelding;Toeristen aan het skiën, 1976;"";"";"";"";"";1976;"";"";toerisme$winter$skiën$sport$vakantie;"";jaren 1970;sneeuw$berglandschap$ski$skipak$skibril;""
Het Huis van Alijn (Gent);DIA-70-00498;"";digitale afbeelding;Toeristen op skireis, 1976;"";"";"";"";"";1976;"";"";toerisme$winter$skiën$sport$vakantie;"";jaren 1970;sneeuw$ski$berglandschap$skipak;""
Het Huis van Alijn (Gent);FO-60-00769;"";digitale afbeelding;Jong koppel aan kerstboom, Gent, 1965;"";"";"";"";"";1965-12;"";"";Kerstmis$interieur$huiskamer$Gent;"";jaren 1960;kerstboom$behang;""
Het Huis van Alijn (Gent);DIA-70-00502;"";digitale afbeelding;Toeristen op camping in sneeuw, Zwiesel, 1976;"";"";"";"";"";1976;"";"";toerisme$winter$Duitsland$kampeerterrein$vervoer$vakantie;"";jaren 1970;caravan$sneeuw$berglandschap;""
Het Huis van Alijn (Gent);DIA-70-00520;"";digitale afbeelding;Meisje wordt zes jaar, 1979;"";"";"";"";"";1979;"";"";verjaardag$feest$voedsel;"";jaren 1970;taart$kaars$tafellaken;""
Het Huis van Alijn (Gent);FO-90-00194;"";digitale afbeelding;Toeristen stappen op vliegtuig naar Spanje;"";"";"";"";"";"";"";"";toerisme$luchthaven$vervoer$Spanje$vakantie;"";jaren 1990;vliegtuig;""
Het Huis van Alijn (Gent);FO-70-01014;"";digitale afbeelding;Koppel viert diamanten bruiloft, 1970;"";"";"";"";"";1970;"";"";jubileum$huwelijk$feest;"";jaren 1970;bloem (plant)$vlag$tuin;""
Het Huis van Alijn (Gent);FO-60-01426;"";digitale afbeelding;Man en vrouw op bromfiets op camping;"";"";"";"";"";"";"";"";toerisme$vervoer$kampeerterrein$vakantie;"";jaren 1960;bromfiets$tent;""
Het Huis van Alijn (Gent);FO-70-01016;"";digitale afbeelding;Groepsportret voor diamanten jubileum, 1970;"";"";"";"";"";1970;"";"";jubileum$huwelijk$feest;"";jaren 1970;groepsportret$bloem (plant);""
Het Huis van Alijn (Gent);FO-20-00239;"";digitale afbeelding;Groepsportret van miliciens tijdens hun legerdienst, 1922;Groepsportret van miliciens die aardappelen schillen of patatten jassen.;"";"";"";"";1922;"";"";leger$dienstplicht$voedsel;"";jaren 1920;militair$aardappel;""
Het Huis van Alijn (Gent);FO-70-01013;"";digitale afbeelding;Studioportret van plechtige communicant, Lovendegem, ca. 1973;"";"";"";"";ca.;1973;"";"";communie$Lovendegem;"";jaren 1970;communicant$studioportret;""
Het Huis van Alijn (Gent);FO-30-00690;"";digitale afbeelding;Meisje met papieren bloemen op strand, Belgische Kust, 1932;"";"";"";"";"";1932;"";"";kusttoerisme$Belgische Kust$toerisme$vakantie;"";jaren 1930;strand$strandcabine$bloem (plant)$mand;""
Het Huis van Alijn (Gent);FO-40-00687;"";digitale afbeelding;Portret van twee plechtige communicanten, ca. 1947;"";"";"";"";ca.;1947;"";"";communie;"";jaren 1940;communicant;""
Het Huis van Alijn (Gent);FO-40-00693;"";digitale afbeelding;Huwelijk Petrus en Julie, Zomergem, 1947;"";"";"";"";"";1947-08-08;"";"";huwelijk$Zomergem;"";jaren 1940;bruidspaar$studioportret;""
Het Huis van Alijn (Gent);FO-30-00692;"";digitale afbeelding;Kinderen met papieren bloemen op strand, Knokke, 1933;"";"";"";"";"";1933;"";"";kusttoerisme$Knokke$toerisme$vakantie;"";jaren 1930;strand$bloem (plant)$badpak;""
Het Huis van Alijn (Gent);DIA-70-00611;"";digitale afbeelding;Toeristen in winkelstraat, Frankrijk, 1976;Foto werd genomen op huwelijksreis naar Provence, Frankrijk, 1976.;"";"";"";"";1976;"";"";toerisme$huwelijk$Frankrijk$vakantie;"";jaren 1970;winkel;""
Het Huis van Alijn (Gent);FO-30-00694;"";digitale afbeelding;Groepsportret op boot met zwemvesten, 1932;"";"";"";"";"";1932;"";"";toerisme$vervoer$vakantie;"";jaren 1930;groepsportret$schip;""
Het Huis van Alijn (Gent);DIA-70-00638;"";digitale afbeelding;Jonge vrouw opent verjaardagsgeschenk, ca. 1979;"";"";"";"";ca.;1979;"";"";verjaardag$feest$voedsel$interieur;"";jaren 1970;taart$kaars$geschenk$tafellaken;""
Het Huis van Alijn (Gent);DIA-70-00636;"";digitale afbeelding;Familie smult van verjaardagstaart, ca. 1979;"";"";"";"";ca.;1979;"";"";verjaardag$feest$voedsel$interieur;"";jaren 1970;taart$tafellaken;""
Het Huis van Alijn (Gent);DIA-70-00649;"";digitale afbeelding;Meisje blaast kaarsen van verjaardagstaart uit, 1977;"";"";"";"";"";1977;"";"";verjaardag$feest$voedsel$mode;"";jaren 1970;taart$kaars;""
Het Huis van Alijn (Gent);DIA-70-00654;"";digitale afbeelding;Kinderen rapen paaseieren, 1978;"";"";"";"";"";1978;"";"";Pasen$voedsel;"";jaren 1970;paasei$chocolade$mand;""
Het Huis van Alijn (Gent);DIA-70-00653;"";digitale afbeelding;Twee paashazen en paaseieren in zetel, 1978;"";"";"";"";"";1978;"";"";Pasen$speelgoed$voedsel;"";jaren 1970;knuffeldier$chocolade$paashaas$paasei$sofa;""
Het Huis van Alijn (Gent);DIA-70-00656;"";digitale afbeelding;Plechtige communicant snijdt ijstaart aan, 1978;"";"";"";"";"";1978;"";"";communie$feest;"";jaren 1970;communicant$taart;""
Het Huis van Alijn (Gent);DIA-80-00082;"";digitale afbeelding;Twee toeristes poseren bij boom, Oostenrijk, ca. 1981-1983;"";"";"";"";ca.;1981;ca.;1983;toerisme$Oostenrijk$vakantie;"";jaren 1980;boom$bos;""
Het Huis van Alijn (Gent);FO-80-00411;"";digitale afbeelding;Vrouw bij toeristenwinkel, Italië, 1980;Deze dame staat aan een toeristenwinkeltje op de top van de Grote St. Bernhardpas. Deze pas verbindt het Zwitserse Val d'Entremont met het Italiaanse Valle d'Aosta. Onder de bergpas is een toltunnel aangelegd die de doorgang van verkeer tussen Italië en Zwitserland in dit gebied garandeert. Bovenop de pas staan er nog steeds diverse kraampjes waar pluchen Sint-Bernardhonden en andere souvenirs verkocht worden.;"";"";"";"";1980-07-29;"";"";toerisme$speelgoed$Italië$vakantie;"";jaren 1980;hond$winkel;""
Het Huis van Alijn (Gent);FO-30-00669;"";digitale afbeelding;Meisje met pop in poppenwagen, ca. 1936;"";"";"";"";ca.;1936;"";"";speelgoed$vervoer;"";jaren 1930;pop$poppenwagen;""
Het Huis van Alijn (Gent);FO-40-00655;"";digitale afbeelding;Plechtige communicant met broer en zus, ca. 1944-1945;"";"";"";"";ca.;1944;ca.;1945;communie;"";jaren 1940;communicant;""
Het Huis van Alijn (Gent);FO-40-00656;"";digitale afbeelding;Portret van plechtige communicant, ca. 1944-1945;"";"";"";"";ca.;1944;ca.;1945;communie;"";jaren 1940;communicant;""
Het Huis van Alijn (Gent);FO-40-00659;"";digitale afbeelding;Meisje met speelgoed, ca. 1945;"";"";"";"";ca.;1945;"";"";speelgoed;"";jaren 1940;pop$blok (speelgoed)$speelgoedfiguur;""
Het Huis van Alijn (Gent);DIA-80-00116;"";digitale afbeelding;Meisje geeft nieuwjaarsbrief af aan koppel, Hamme, ca. 1980-1984;"";"";"";"";ca.;1980;ca.;1984;Hamme$nieuwjaarsdag;"";jaren 1980;nieuwjaarsbrief$spiegel;""
Het Huis van Alijn (Gent);DIA-70-00109;"";digitale afbeelding;Doopsel van een jongetje, Sint-Amandsberg, 1971;"";"";"";"";"";1971;"";"";geboorte$doopsel$Sint-Amandsberg;"";jaren 1970;doopkleed$doopvont$priester;""
Het Huis van Alijn (Gent);DIA-70-00111;"";digitale afbeelding;Familie tijdens doopsel jongetje, Sint-Amandsberg, 1971;"";"";"";"";"";1971;"";"";geboorte$doopsel$mode$Sint-Amandsberg;"";jaren 1970;doopkleed;""
Het Huis van Alijn (Gent);DIA-80-00142;"";digitale afbeelding;Moeder en zoon bij verjaardagstaart, 1980;"";"";"";"";"";1980;"";"";verjaardag$feest$voedsel$interieur;"";jaren 1980;taart$kaars$sofa;""
Het Huis van Alijn (Gent);DIA-60-00130;"";digitale afbeelding;Twee vrouwen zonnen op strand, De Panne, 1968;"";"";"";"";"";1968;"";"";kusttoerisme$badmode$De Panne$toerisme$vakantie;"";jaren 1960;strand$badpak;""
Het Huis van Alijn (Gent);DIA-80-00174;"";digitale afbeelding;Jongen en meisje blazen kaarsjes van verjaardagstaart uit;"";"";"";"";"";"";"";"";verjaardag$feest$voedsel;"";jaren 1980;taart$kaars$kroon;""
Het Huis van Alijn (Gent);DIA-80-00173;"";digitale afbeelding;Meisje bij verjaardagstaart met kaarsjes;"";"";"";"";"";"";"";"";verjaardag$feest$voedsel$drank$huiskamer$interieur;"";jaren 1980;taart$kaars$champagnefles$tafellaken;""
Het Huis van Alijn (Gent);DIA-80-00182;"";digitale afbeelding;Meisje bij speelgoedwinkeltje met zakje chocoladecenten;"";"";"";"";"";"";"";"";speelgoed$Sinterklaas$voedsel;"";jaren 1980;chocolade$geschenk;""
Het Huis van Alijn (Gent);DIA-80-00206;"";digitale afbeelding;Kindje met speelgoedkassa bij verjaardagstaart;"";"";"";"";"";"";"";"";verjaardag$feest$voedsel$speelgoed;"";jaren 1980;taart$kaars;""
Het Huis van Alijn (Gent);DIA-80-00214;"";digitale afbeelding;Vrouw met twee kinderen voor schip, Zeebrugge;Het schip is de Herald of Free Enterprise.;"";"";"";"";"";"";"";toerisme$vervoer$Zeebrugge$vakantie;"";jaren 1980;kinderwagen$schip;""
Het Huis van Alijn (Gent);DIA-80-00243;"";digitale afbeelding;Man op rolschaatsen en jongen op fiets, Mariakerke, ca. 1980;"";"";"";"";ca.;1980;"";"";spel$speelgoed$vervoer$Mariakerke (Gent);"";jaren 1980;fiets$rolschaats;""
Het Huis van Alijn (Gent);DIA-80-00230;"";digitale afbeelding;Kinderen tekenen met krijt op muur in de tuin;"";"";"";"";"";"";"";"";spel$speelgoed;"";jaren 1980;krijt;""
Het Huis van Alijn (Gent);DIA-80-00251;"";digitale afbeelding;Vrouw bij fornuis, Verenigde Staten, 1981;"";"";"";"";"";1981;"";"";Verenigde Staten van Amerika$toerisme$keuken$interieur$vakantie;"";jaren 1980;fornuis$kookpot;""
Het Huis van Alijn (Gent);DIA-80-00249;"";digitale afbeelding;Toeristen bekijken panorama, Winterberg, Duitsland, ca. 1980;"";"";"";"";ca.;1980;"";"";toerisme$Duitsland$vakantie;"";jaren 1980;rivier$boom$brug$panorama;""
Het Huis van Alijn (Gent);FO-60-00813;"";digitale afbeelding;Reclameauto in optocht tijdens Ajuinmarkt, Ledeberg, 1961;De Ajuinmarktfeesten vinden plaats in Ledeberg. Naast de ajuinmarkt zelf is er ook een avondmarkt en een rommelmarkt, een kermis, straatanimatie, een braderie en veel optredens. Het feeërieke hoogtepunt van de Ajuinmarktfeesten is de lichtstoet, die al sinds 1924 door de Ledebergse straten trekt.;"";"";"";"";1961;"";"";vervoer$optocht$reclame$Ledeberg;"";jaren 1960;auto$bestelwagen;""
Het Huis van Alijn (Gent);FO-50-01073;"";digitale afbeelding;Communicant en ouders voor Chevrolet, 1958;"";"";"";"";"";1958;"";"";communie$vervoer;"";jaren 1950;auto$Chevrolet$communicant;""
Het Huis van Alijn (Gent);FO-70-00996;"";digitale afbeelding;Vrouwen aan afwas, jaren 1970;"";"";"";"";"";"";"";"";keuken$interieur$huishouden;"";jaren 1970;behang;""
Het Huis van Alijn (Gent);FO-90-00192;"";digitale afbeelding;Toeristen voor witte woning, Almeria, Spanje, ca. 1997-1998;"";"";"";"";ca.;1997;ca.;1998;toerisme$Spanje$vakantie;"";jaren 1990;bloem (plant);""
Het Huis van Alijn (Gent);DIA-80-00276;"";digitale afbeelding;Vier kinderen eten pannenkoeken, 1981;"";"";"";"";"";1981;"";"";verjaardag$feest$voedsel$interieur;"";jaren 1980;pannenkoek$kroon$tafellaken;""
Het Huis van Alijn (Gent);DIA-80-00283;"";digitale afbeelding;Kinderen blazen kaarsjes van verjaardagstaart uit, 1982;"";"";"";"";"";1982;"";"";verjaardag$feest$voedsel$interieur;"";jaren 1980;taart$kaars$tafellaken;""
Het Huis van Alijn (Gent);FO-30-00702;"";digitale afbeelding;Bruidspaar Antoon en Marie José verlaat de kerk, Sas van Gent, 1938;"";"";"";"";"";1938-10-13;"";"";huwelijk$kerk$Sas van Gent$Gent;"";jaren 1930;bruidspaar;""
Het Huis van Alijn (Gent);FO-30-00703;"";digitale afbeelding;Bruidspaar Antoon en Marie José verlaat de kerk, Sas van Gent, 1938;"";"";"";"";"";1938-10-13;"";"";huwelijk$kerk$Sas van Gent$Gent;"";jaren 1930;bruidspaar;""
Het Huis van Alijn (Gent);FO-30-00704;"";digitale afbeelding;Bruidspaar Antoon en Marie José met bruidskindjes, Gent, 1938;"";Van Damme, E.;fotograaf;Gent;"";1938-10-13;"";"";huwelijk$Gent;"";jaren 1930;bruidspaar$bruidsboeket$studioportret$sleep;""
Het Huis van Alijn (Gent);FO-70-01012;"";digitale afbeelding;Bruidspaar Frank en Caroline verlaat de kerk, 1977;"";"";"";"";"";1977-11-11;"";"";huwelijk$kerk;"";jaren 1970;bruidspaar$bruidsboeket;""
Het Huis van Alijn (Gent);DIA-80-00319;"";digitale afbeelding;Drie kinderen met zwarte kat, 1986;"";"";"";"";"";1986;"";"";huisdier;"";jaren 1980;kat;""
Het Huis van Alijn (Gent);FO-70-01010;"";digitale afbeelding;Receptie huwelijk Frank en Caroline, Aalst, 1977;"";"";"";"";"";1977-11-11;"";"";huwelijk$feest$Aalst;"";jaren 1970;bruidspaar;""
Het Huis van Alijn (Gent);DIA-90-00025;"";digitale afbeelding;Groesportret van eerste communicant met familie, 1990;"";"";"";"";"";1990;"";"";communie;"";jaren 1990;groepsportret$communicant;""
Het Huis van Alijn (Gent);FO-50-01686;"";digitale afbeelding;Bruidspaar Denise en Walter in haar ouderlijk huis, Gent, 1957;"";"";"";"";"";1957-07-06;"";"";huwelijk$Gent;"";jaren 1950;bruidspaar$bruidsboeket;""
Het Huis van Alijn (Gent);DIA-80-00358;"";digitale afbeelding;Bruidspaar Ans en Mark openen dansfeest, 1981;"";"";"";"";"";1981;"";"";huwelijk$dans$feest;"";jaren 1980;bruidspaar;""
Het Huis van Alijn (Gent);DIA-80-00390;"";digitale afbeelding;Meisje met kroon bij verjaardagstaart, ca. 1983;"";"";"";"";ca.;1983;"";"";verjaardag$feest$voedsel;"";jaren 1980;kroon$taart$kaars;""
Het Huis van Alijn (Gent);DIA-80-00396;"";digitale afbeelding;Kindje raapt paaseieren;"";"";"";"";"";"";"";"";Pasen;"";jaren 1980;paasei$tuin;""
Het Huis van Alijn (Gent);DIA-80-00398;"";digitale afbeelding;Meisje met mandje en paasei;"";"";"";"";"";"";"";"";Pasen;"";jaren 1980;paasei$mand;""
Het Huis van Alijn (Gent);DIA-80-00408;"";digitale afbeelding;Meisje toont paaseieren;"";"";"";"";"";"";"";"";Pasen$voedsel;"";jaren 1980;paasei$chocolade$schommel$mand$tuin;""
Het Huis van Alijn (Gent);DIA-80-00411;"";digitale afbeelding;Meisje met taart en speelgoed in kinderpark;"";"";"";"";"";"";"";"";verjaardag$feest$voedsel$speelgoed;"";jaren 1980;taart$babybox$pop$knuffeldier;""
Het Huis van Alijn (Gent);DIA-80-00401;"";digitale afbeelding;Familie op gocart, Belgische Kust;"";"";"";"";"";"";"";"";kusttoerisme$toerisme$Belgische Kust$vervoer$spel$vakantie;"";jaren 1980;trapauto$zeedijk;""
Het Huis van Alijn (Gent);FO-60-01314;"";digitale afbeelding;Vrouw in keuken, jaren 1960;"";"";"";"";"";"";"";"";interieur$keuken$mode;"";jaren 1960;spiegel;""
Het Huis van Alijn (Gent);FO-40-00649;"";digitale afbeelding;Gezin voor kerstboom, Maldegem, 1942;"";"";"";"";"";1942;"";"";interieur$huiskamer$Kerstmis$Maldegem;"";jaren 1940;kerstboom$gezin;""
Het Huis van Alijn (Gent);FO-00-00004;"";digitale afbeelding;Klasfoto 1e leerjaar, Ledeberg, 1902-1903;De foto werd genomen in de Gemeenteschool te Ledeberg.;"";"";"";"";1902;"";1903;onderwijs$Ledeberg$school;"";jaren 1900;groepsportret;""
Het Huis van Alijn (Gent);FO-20-00227;"";digitale afbeelding;Groepsportret toeristen voor hotel, Bouillon, 1925;"";"";"";"";"";1925;"";"";toerisme$Ardennen$vakantie;"";jaren 1920;groepsportret$hotel;""
Het Huis van Alijn (Gent);FO-60-01326;"";digitale afbeelding;Toeristen spelen haasje-over, Riccione, Italië, 1965;"";"";"";"";"";1965-07-08;"";"";kusttoerisme$spel$Italië$toerisme$vakantie;"";jaren 1960;strand;""
Het Huis van Alijn (Gent);FO-50-01774;"";digitale afbeelding;Portret van Sinterklaas, Zwarte Piet en helper met boek, 1956;"";"";"";"";"";1956;"";"";Sinterklaas;"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-01870;"";digitale afbeelding;Jongen bij Sinterklaas, 1955;"";"";"";"";"";1955;"";"";Sinterklaas;"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-01776;"";digitale afbeelding;Kindje geeft een hand aan Sinterklaas, Grand Bazar Gent, 1953;Deze foto werd genomen in de Grand Bazar in de Veldstraat in Gent.;"";"";"";"";1953;"";"";Sinterklaas$Gent$Veldstraat (Gent);"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-70-01158;"";digitale afbeelding;Drie kinderen bij Sinterklaas in speelgoedwinkel, ca. 1978;"";"";"";"";ca.;1978;"";"";Sinterklaas$speelgoed$winkel;"";jaren 1970;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-00674;"";digitale afbeelding;Schoolportret van meisje op kameel, 1956;De kameel draagt reclame van chocolaterie Jacques.;"";"";"";"";1956;"";"";onderwijs$reclame$school;Chocolaterie S.A. Jacques N.V.;jaren 1950;kameel;""
Het Huis van Alijn (Gent);FO-60-01315;"";digitale afbeelding;Portret van vrouw bij haard, jaren 1960;"";"";"";"";"";"";"";"";interieur$huiskamer$mode;"";jaren 1960;behang$kachel$koekoeksklok;""
Het Huis van Alijn (Gent);FO-60-01318;"";digitale afbeelding;Koppel in sofa, jaren 1960;"";"";"";"";"";"";"";"";interieur$huiskamer;"";jaren 1960;sofa$lamp (verlichtingsmiddel)$behang$tapijt;""
Het Huis van Alijn (Gent);FO-30-00131;"";digitale afbeelding;Twee zussen op het strand, Oostende, 1934;Op de achtergrond het oude casino van Oostende. Dit werd vernietigd tijdens de Tweede Wereldoorlog.;"";"";"";"";1934-08;"";"";kusttoerisme$Oostende$badmode$toerisme$vakantie;"";jaren 1930;zee$strand$casino$badpak;Kursaal Oostende
Het Huis van Alijn (Gent);FO-20-00228;"";digitale afbeelding;Groep toeristen met blote voeten in water, Botassart, 1928;"";"";"";"";"";1928;"";"";toerisme$Ardennen$vakantie;"";jaren 1920;groepsportret$rivier;""
Het Huis van Alijn (Gent);FO-50-01778;"";digitale afbeelding;Neef en nicht bij Sinterklaas, Grand Bazar Gent, ca. 1950;Deze foto werd genomen in de Grand Bazar in de Veldstraat in Gent.;"";"";"";ca.;1950;"";"";Sinterklaas$Gent$Veldstraat (Gent);"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-60-01295;"";digitale afbeelding;Mensen kijken naar schip Texaco, 1968;"";"";"";"";"";1968;"";"";vervoer;"";jaren 1960;schip$kinderwagen;""
Het Huis van Alijn (Gent);FO-60-01299;"";digitale afbeelding;Toeristen met strandbal op strand, Bredene, 1969;"";"";"";"";"";1969;"";"";kusttoerisme$Bredene$toerisme$badmode$vakantie;"";jaren 1960;strand$strandbal;""
Het Huis van Alijn (Gent);FO-50-01562;"";digitale afbeelding;Echtpaar bij auto, Doornzele, 1954;Het koppel, August Van den Bossche en Louise Braet waren in 1954, 50 jaar getrouwd.;"";"";"";"";1954-05-15;"";"";vervoer$jubileum$Doornzele;"";jaren 1950;auto;""
Het Huis van Alijn (Gent);FO-80-00629;"";digitale afbeelding;Meisje bij Sinterklaas en Zwarte Piet, 1983;"";"";"";"";"";1983-12;"";"";Sinterklaas;"";jaren 1980;Sinterklaas$zonnebril;""
Het Huis van Alijn (Gent);FO-50-01564;"";digitale afbeelding;Jubilarissen omringd door vrienden, familie en bloemen, 1954;Het koppel was 50 jaar getrouwd.;"";"";"";"";1954;"";"";jubileum$Doornzele;"";jaren 1950;bloem (plant)$groepsportret;""
Het Huis van Alijn (Gent);FO-60-01667;"";digitale afbeelding;Jongen met muts bij Sinterklaas, ca. 1965;"";"";"";"";ca.;1965;"";"";Sinterklaas;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-01787;"";digitale afbeelding;Meisje poseert bij speelgoedwinkel, ca. 1955;"";"";"";"";ca.;1955;"";"";speelgoed$voedsel;"";jaren 1950;pop$winkel;""
Het Huis van Alijn (Gent);FO-60-01666;"";digitale afbeelding;Jongetje op schoot van Sinterklaas, 1969;"";"";"";"";"";1969;"";"";Sinterklaas;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);FO-20-00225;"";digitale afbeelding;Groepsportret voor trein, Rieme, 1925;Groep mannen voor trein Gent-Terneuzen. De man waar een kruisje bij staat was postbode.;"";"";"";"";1925;"";"";vervoer$Ertvelde$Gent$Terneuzen;"";jaren 1920;trein$postbode;""
Het Huis van Alijn (Gent);FO-10-00094;"";digitale afbeelding;Studioportret moeder met zoon, 1911;"";"";"";"";"";1911;"";"";geboorte;"";jaren 1910;studioportret$baby;""
Het Huis van Alijn (Gent);FO-60-01673;"";digitale afbeelding;Vier jonge vrouwen bij Sinterklaas, 1960;"";"";"";"";"";1960-10-18;"";"";Sinterklaas$jeugd;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);FO-50-01567;"";digitale afbeelding;Kleinkinderen feliciteren jubilarissen, Doornzele, 1954;Het koppel was 50 jaar gehuwd en dat werd uitbundig gevierd in Doornzele.;"";"";"";"";1954;"";"";jubileum$Doornzele;"";jaren 1950;bloem (plant)$groepsportret;""
Het Huis van Alijn (Gent);FO-70-00621;"";digitale afbeelding;Man en vrouw spelen Speed Ball in tuin;"";"";"";"";"";"";"";"";speelgoed$spel;"";jaren 1970;tuin$balspel;""
Het Huis van Alijn (Gent);FO-50-01125;"";digitale afbeelding;Gezelschap bij Simca, La Rochelle, 1957;"";"";"";"";"";1957;"";"";vervoer$toerisme$vakantie$Frankrijk;"";jaren 1950;auto$Simca;""
Het Huis van Alijn (Gent);FO-70-01148;"";digitale afbeelding;Moeder en kind bij Sinterklaas in kledingwinkel;"";"";"";"";"";"";"";"";Sinterklaas;"";jaren 1970;Sinterklaas;""
Het Huis van Alijn (Gent);FO-60-01672;"";digitale afbeelding;Jongetje bij Sinterklaas, 1969;"";"";"";"";"";1969;"";"";Sinterklaas;"";jaren 1960;Sinterklaas;""
Het Huis van Alijn (Gent);FO-60-01671;"";digitale afbeelding;Sinterklaas en Zwarte Piet bij kinderen in woonkamer, ca. 1969;"";"";"";"";ca.;1969;"";"";Sinterklaas$interieur;"";jaren 1960;Sinterklaas$huiskamer;""
Het Huis van Alijn (Gent);FO-60-00842;"";digitale afbeelding;Kinderen in Opel, 1964;"";"";"";"";"";1964;"";"";vervoer;"";jaren 1960;auto$Opel;""
Het Huis van Alijn (Gent);FO-50-00951;"";digitale afbeelding;Vrouw met witte kat in armen, Gent, ca. 1951-1953;"";"";"";"";ca.;1951;ca.;1953;huisdier$Gent;"";jaren 1950;kat;""
Het Huis van Alijn (Gent);FO-20-00065;"";digitale afbeelding;Drie kinderen poseren met speelgoed, Gent, 1927;De foto werd genomen in de voormalige Gasmeterstraat in Gent (nu Schommelstraat).;"";"";"";"";1927;"";"";speelgoed$Gent;"";jaren 1920;pop$wieg$speelgoeddier;""
Het Huis van Alijn (Gent);FO-60-01306;"";digitale afbeelding;Huwelijk Christiane en Werner, Zelzate, 1969;"";"";"";"";"";1969-06-07;"";"";huwelijk$feest$Zelzate;"";jaren 1960;bruidspaar$bruidsboeket;""
Het Huis van Alijn (Gent);FO-60-01307;"";digitale afbeelding;Christiane en Werner snijden de bruidstaart aan, Zelzate, 1969;"";"";"";"";"";1969-06-07;"";"";huwelijk$feest$Zelzate;"";jaren 1960;bruidspaar$taart;""
Het Huis van Alijn (Gent);FO-50-01136;"";digitale afbeelding;Auto's voor Gravensteen, Gent, 1956;De centrale wagen is een MG Magnette (ca. 1955).;"";"";"";"";1956;"";"";vervoer$Gent;"";jaren 1950;auto$Gravensteen (Gent)$MG;""
Het Huis van Alijn (Gent);FO-70-00623;"";digitale afbeelding;Vakantiegangers bij auto en camper, Cadzand, ca. 1976;"";"";"";"";ca.;1976;"";"";toerisme$vervoer$vakantie$kampeerterrein$huisdier$Nederland;"";jaren 1970;auto$camper$hond;""
Het Huis van Alijn (Gent);FO-80-00626;"";digitale afbeelding;Twee jongens bij Sinterklaas in speelgoedwinkel, ca. 1982;"";"";"";"";ca.;1982;"";"";Sinterklaas$winkel$speelgoed;"";jaren 1980;Sinterklaas$racebaan;""
Het Huis van Alijn (Gent);FO-50-01788;"";digitale afbeelding;Meisje bij Sinterklaas, ca. 1957;"";"";"";"";ca.;1957;"";"";Sinterklaas;"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-70-01162;"";digitale afbeelding;Meisje bij Sinterklaas met zakje speculaas, 1977;"";"";"";"";"";1977-12-06;"";"";Sinterklaas;"";jaren 1970;Sinterklaas$speculaas;""
Het Huis van Alijn (Gent);FO-70-00969;"";digitale afbeelding;Gezelschap in het bos, Beekse Bergen, Tilburg, 1971;"";"";"";"";"";1971-05-30;"";"";toerisme$mode$Tilburg$vakantie;"";jaren 1970;kampeerstoel$bos$boom;""
Het Huis van Alijn (Gent);FO-50-01446;"";digitale afbeelding;Meisje bij Sinterklaas, ca. 1951;"";"";"";"";ca.;1951;"";"";Sinterklaas;"";jaren 1950;Sinterklaas;""
Het Huis van Alijn (Gent);FO-40-00607;"";digitale afbeelding;Studioportret van moeder met baby;"";"";"";"";"";"";"";"";geboorte;"";jaren 1940;baby$studioportret;""
